"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"05/01/2026 21:03:59","8216","Informações","System Restore","A ignorar criação de ponto de restauro (Processo = C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv; Descrição = Windows Update), pois está disponível um ponto de restauro suficientemente recente para Restauro do Sistema."
"05/01/2026 21:03:09","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T21:03:09Z. Motivo: RulesEngine."
"05/01/2026 21:02:39","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 20:57:14","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T20:57:14Z. Motivo: RulesEngine."
"05/01/2026 20:56:44","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 20:44:22","4096",,"VBScriptDeprecationAlert",
"05/01/2026 20:33:49","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T20:33:49Z. Motivo: RulesEngine."
"05/01/2026 20:32:57","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 20:29:52","4096",,"VBScriptDeprecationAlert",
"05/01/2026 20:13:52","0",,"brave",
"05/01/2026 20:07:28","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T20:07:28Z. Motivo: RulesEngine."
"05/01/2026 20:06:58","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 20:05:25","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T20:05:25Z. Motivo: RulesEngine."
"05/01/2026 20:04:53","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 19:40:55","4096",,"VBScriptDeprecationAlert",
"05/01/2026 19:27:40","1022","Erro",".NET Runtime",".NET Runtime version 4.0.30319.0 - Falha ao inicializar a infra-estrutura de anexação da API de criação de perfis. Este processo não permitirá a anexação de um gerador de perfis. HRESULT: 0x80004005.  ID do processo (decimal): 14748. ID da mensagem: [0x2509]."
"05/01/2026 19:20:10","0","Informações","edgeupdate","Service stopped."
"05/01/2026 19:16:19","1022","Erro",".NET Runtime",".NET Runtime version 4.0.30319.0 - Falha ao inicializar a infra-estrutura de anexação da API de criação de perfis. Este processo não permitirá a anexação de um gerador de perfis. HRESULT: 0x80004005.  ID do processo (decimal): 5140. ID da mensagem: [0x2509]."
"05/01/2026 19:12:12","1005","Erro","Microsoft-Windows-Perflib","A tentativa de localização do procedimento de Abertura ""OpenLsaPerformanceData"" na DLL ""C:\Windows\System32\Secur32.dll"" do serviço ""Lsa"" falhou com o código de erro Win32 Impossível localizar o procedimento especificado.. Os dados de desempenho deste serviço não ficarão disponíveis."
"05/01/2026 19:08:56","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T19:08:56Z. Motivo: RulesEngine."
"05/01/2026 19:08:25","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 19:08:04","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T19:08:04Z. Motivo: RulesEngine."
"05/01/2026 19:07:34","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 19:03:25","256","Informações","Brave-Browser","[23032:12912:0105/190325.511:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete."
"05/01/2026 19:02:52","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T19:02:52Z. Motivo: RulesEngine."
"05/01/2026 19:02:25","4096",,"VBScriptDeprecationAlert",
"05/01/2026 17:17:50","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 17:09:50","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T17:09:50Z. Motivo: RulesEngine."
"05/01/2026 17:09:19","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 16:40:55","4096",,"VBScriptDeprecationAlert",
"05/01/2026 16:32:59","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T16:32:59Z. Motivo: RulesEngine."
"05/01/2026 16:32:28","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 16:30:45","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T16:30:45Z. Motivo: RulesEngine."
"05/01/2026 16:30:15","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 16:05:28","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T16:05:28Z. Motivo: RulesEngine."
"05/01/2026 16:05:21","4096",,"VBScriptDeprecationAlert",
"05/01/2026 16:04:57","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:55:53","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:55:53Z. Motivo: RulesEngine."
"05/01/2026 15:55:22","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:54:37","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:54:37Z. Motivo: RulesEngine."
"05/01/2026 15:54:07","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:52:15","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:52:15Z. Motivo: RulesEngine."
"05/01/2026 15:51:44","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:50:19","0",,"Dolby DAX3",
"05/01/2026 15:50:19","0",,"Dolby DAX3",
"05/01/2026 15:50:19","0",,"Dolby DAX3",
"05/01/2026 15:34:43","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:34:43Z. Motivo: RulesEngine."
"05/01/2026 15:34:13","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:33:29","4096",,"VBScriptDeprecationAlert",
"05/01/2026 15:31:00","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:31:00Z. Motivo: RulesEngine."
"05/01/2026 15:30:30","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 15:05:39","4096",,"VBScriptDeprecationAlert",
"05/01/2026 15:02:44","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T15:02:44Z. Motivo: RulesEngine."
"05/01/2026 15:02:14","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 14:58:02","256","Informações","Brave-Browser","[22992:24012:0105/145802.927:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete."
"05/01/2026 14:56:00","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T14:56:00Z. Motivo: RulesEngine."
"05/01/2026 14:55:29","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 14:52:24","4096",,"VBScriptDeprecationAlert",
"05/01/2026 14:52:18","10001","Informações","Microsoft-Windows-RestartManager","A terminar a sessão 9 iniciada às ‎2026‎-‎01‎-‎05T14:51:08.536861700Z."
"05/01/2026 14:51:08","10000","Informações","Microsoft-Windows-RestartManager","A iniciar a sessão 9 - ‎2026‎-‎01‎-‎05T14:51:08.536861700Z."
"05/01/2026 14:48:30","64","Aviso","Microsoft-Windows-CertificateServicesClient-AutoEnrollment","O certificado de Sistema local com o Thumbprint 90 90 c2 0f 03 5e bd 1a ce 64 67 4b ad f2 dd d6 55 6d cf a9 está prestes a expirar ou já expirou."
"05/01/2026 14:46:48","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T14:46:48Z. Motivo: RulesEngine."
"05/01/2026 14:46:17","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 14:45:27","0",,"Dolby DAX3",
"05/01/2026 14:42:32","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T14:42:32Z. Motivo: RulesEngine."
"05/01/2026 14:42:01","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 14:40:31","0",,"brave",
"05/01/2026 14:40:22","0",,"Dolby DAX3",
"05/01/2026 14:40:22","0",,"Dolby DAX3",
"05/01/2026 14:40:21","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação."
"05/01/2026 14:40:21","0",,"Dolby DAX3",
"05/01/2026 14:40:21","0",,"Dolby DAX3",
"05/01/2026 14:40:21","0",,"Dolby DAX3",
"05/01/2026 14:40:21","0",,"Dolby DAX3",
"05/01/2026 14:40:20","0",,"Dolby DAX3",
"05/01/2026 14:40:20","6003","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação crítico."
"05/01/2026 14:40:18","4096",,"VBScriptDeprecationAlert",
"05/01/2026 12:11:49","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <SessionEnv> não estava disponível para processar um evento de notificação."
"05/01/2026 12:11:49","6000","Informações","Microsoft-Windows-Winlogon","O subscritor de notificação de início de sessão <WSearch> não estava disponível para processar um evento de notificação."
"05/01/2026 12:09:34","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T12:09:34Z. Motivo: RulesEngine."
"05/01/2026 12:09:04","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 12:05:39","4096",,"VBScriptDeprecationAlert",
"05/01/2026 12:05:20","0",,"Dolby DAX3",
"05/01/2026 11:52:24","4096",,"VBScriptDeprecationAlert",
"05/01/2026 11:46:01","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T11:46:01Z. Motivo: RulesEngine."
"05/01/2026 11:45:47","15","Informações","SecurityCenter","Estado Windows Defender atualizado com êxito para SECURITY_PRODUCT_STATE_ON."
"05/01/2026 11:45:26","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 11:37:48","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T11:37:48Z. Motivo: RulesEngine."
"05/01/2026 11:37:18","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 11:30:01","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T11:30:00Z. Motivo: RulesEngine."
"05/01/2026 11:29:52","4096",,"VBScriptDeprecationAlert",
"05/01/2026 11:29:30","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 11:06:23","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T11:06:23Z. Motivo: RulesEngine."
"05/01/2026 11:05:53","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 11:04:40","16384","Informações","Microsoft-Windows-Security-SPP","O serviço de Proteção de Software foi agendado com êxito para reiniciar em 2125-12-12T11:04:40Z. Motivo: RulesEngine."
"05/01/2026 11:04:10","16394","Informações","Microsoft-Windows-Security-SPP","Migração de nível inferior offline com êxito."
"05/01/2026 10:59:50","0",,"Dolby DAX3",
